notice_id,source_board,title,category,posted_date,notice_url,content
55,SW중심대학사업단 공지사항,[안내] SW융합/특화전공 장학금 지급 기준,장학,2026-02-25,https://swuniv.hs.ac.kr/07_01,
56,SW중심대학사업단 공지사항,[홍보] 이노베이션아카데미_2026 코디세이 AI 올인원 제1기 교육생 모집 안내,행사,2026-02-24,https://swuniv.hs.ac.kr/07_01,
57,SW중심대학사업단 공지사항,[안내] 2026 한신대학교 SW중심대학 산학협력 프로젝트 기술수요조사(~3/27 금),학사,2026-02-20,https://swuniv.hs.ac.kr/07_01,
58,SW중심대학사업단 공지사항,[홍보] [경기대학교] 국가공인 SW테스트 전문가 CSTS 자격시험 안내,행사,2026-02-09,https://swuniv.hs.ac.kr/07_01,
59,SW중심대학사업단 공지사항,[공지] 2026-1학기 융합전공 신청 안내 (4차 접수 마감),학사,2026-02-03,https://swuniv.hs.ac.kr/07_01,
60,SW중심대학사업단 공지사항,[공지] 2026 입학전특별교육 생성형AI맛보기 캠프 안내,학사,2026-02-02,https://swuniv.hs.ac.kr/07_01,
61,SW중심대학사업단 공지사항,[공지] 26-1학기 융합/특화전공 수강신청 및 분반 개설시간표 안내,학사,2026-01-26,https://swuniv.hs.ac.kr/07_01,
62,SW중심대학사업단 공지사항,[공지] 2026-1학기 융합/특화전공 신청 안내 (일정 변경),학사,2026-01-13,https://swuniv.hs.ac.kr/07_01,
63,SW중심대학사업단 공지사항,[공지] 2026년도 AI·SW마에스트로 과정 제17기 연수생 모집 공고,학사,2026-01-12,https://swuniv.hs.ac.kr/07_01,
64,SW중심대학사업단 공지사항,[신입생] 2026학년도 입학전특별교육 SW교과목 수강 안내,학사,2026-01-08,https://swuniv.hs.ac.kr/07_01,
65,SW중심대학사업단 공지사항,[공지] 2025-2학기 SW포인트 지급 예정자 명단,장학,2025-12-22,https://swuniv.hs.ac.kr/07_01,
66,SW중심대학사업단 공지사항,[공지] 2025-동계 방중 사무실 이전 안내,학사,2025-12-17,https://swuniv.hs.ac.kr/07_01,
