course_id,course_code,course_name,credit,theory_hours,practice_hours,course_description,source_url
147,DC164,현대중국사회와문화,3.0,3.0,0.0,한중콘텐츠전공과목,https://sugang.hs.ac.kr/course/subject/list
148,TT112,목회실습Ⅱ,1.0,1.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
149,EF201,경제금융수학길잡이,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
150,NM216,금융공학1,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
151,NP201,특수체육개론,3.0,3.0,0.0,"이론 수업 시 10201호/실습 수업 시 운동장/월3,4블록",https://sugang.hs.ac.kr/course/subject/list
152,HK106,한국어학개론,3.0,3.0,0.0,전공필수교과목. 한국어교육트랙 1영역,https://sugang.hs.ac.kr/course/subject/list
153,HJ269,일본학조사연구Ⅰ,3.0,3.0,0.0,세미나 수업 연강요청. 전공(복수전공)자,https://sugang.hs.ac.kr/course/subject/list
154,HR102,종교학개론,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
155,EH105,글로벌사회입문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
156,EE366,미시경제학,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
157,NM289,미적분학,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
158,HH263,고고학입문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
159,HI269,국제관계의이론과역사,3.0,3.0,0.0,외국인 유학생 전용 강의,https://sugang.hs.ac.kr/course/subject/list
160,HC599,중급중국어회화Ⅰ,1.0,1.0,0.0,중국어문전공과목,https://sugang.hs.ac.kr/course/subject/list
161,PS110,공공조직관리론,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
162,HI323,정치사상의이해,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
163,TT217,목회실습Ⅲ,1.0,1.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
164,PS414,사회조사분석,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
165,EZ239,데이터분석,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
166,HP287,철학여행Ⅱ,1.0,1.0,0.0, 철학 재학생(복수전공 포함)만 수강 가능,https://sugang.hs.ac.kr/course/subject/list
167,TT152,신앙수련회Ⅲ,1.0,1.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
168,EZ227,웹프로그래밍활용,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
169,TT293,교회봉사Ⅳ,1.0,1.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
170,TT291,교회봉사Ⅲ,1.0,1.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
171,NS323,통계조사실습,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
172,NM227,금융수치해석,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
173,HJ359,일본학조사연구Ⅲ,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
174,HS316,사회조사방법Ⅱ,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
175,HH472,학술답사C,0.5,0.5,0.0, ,https://sugang.hs.ac.kr/course/subject/list
176,EK345,글로벌경영전략,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
177,EI247,국제정치경제학,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
