schedule_id,offering_id,day_of_week,start_time,end_time,classroom
4416,4296,수,17:30:00,18:20:00,3410
4417,4297,수,16:00:00,16:50:00,18102
4418,4298,수,16:00:00,16:50:00,18103
4419,4299,수,16:00:00,16:50:00,18101
4420,4300,수,16:00:00,16:50:00,18420-1
4421,4301,수,16:00:00,16:50:00,18211-1
4422,4302,수,16:00:00,16:50:00,18106
4423,4303,수,17:30:00,18:20:00,3406
4424,4304,수,17:30:00,18:20:00,3407
4425,4305,수,17:30:00,18:20:00,18420
4426,4306,수,17:30:00,18:20:00,18102
4427,4307,수,17:30:00,18:20:00,18103
4428,4308,수,17:30:00,18:20:00,18104
4429,4309,수,17:30:00,18:20:00,18212-1
4430,4310,수,16:00:00,16:50:00,3403
4431,4311,수,16:00:00,16:50:00,3408
4432,4312,수,16:00:00,16:50:00,3409
4433,4313,수,16:00:00,16:50:00,3410
4434,4314,월,17:30:00,18:20:00,3407
4435,4315,수,16:00:00,16:50:00,3405
4436,4316,월,17:30:00,18:20:00,18102
4437,4317,월,17:30:00,18:20:00,18103
4438,4318,월,17:30:00,18:20:00,18105
4439,4319,월,17:30:00,18:20:00,18104
4440,4320,월,17:30:00,18:20:00,18101
4441,4321,월,17:30:00,18:20:00,3201
4442,4322,월,17:30:00,18:20:00,3203
4443,4323,월,17:30:00,18:20:00,3204
4444,4324,수,17:30:00,18:20:00,3405
4445,4325,수,17:30:00,18:20:00,3403
4446,4326,수,17:30:00,18:20:00,3408
4447,4327,수,17:30:00,18:20:00,3308
4448,4328,수,17:30:00,18:20:00,3409
4449,4329,수,14:30:00,15:45:00,7215
4450,4330,화,16:00:00,17:15:00,18212
4451,4330,화,17:30:00,18:45:00,18212
4452,4332,화,13:00:00,14:15:00,3203
4453,4333,화,13:00:00,14:15:00,18212-1
4454,4333,화,14:30:00,15:45:00,18212-1
4455,4335,월,13:00:00,14:15:00,8110
4456,4335,수,13:00:00,14:15:00,8110
4457,4336,월,14:30:00,15:45:00,8110
4458,4336,수,14:30:00,15:45:00,8110
4459,4337,월,09:30:00,10:45:00,20502
4460,4337,수,11:00:00,12:15:00,20502
4461,4338,월,11:00:00,12:15:00,20502
4462,4338,수,09:30:00,10:45:00,20502
